Android application is debugging.
02-10 21:27:59.965 I/art     (26521): Late-enabling -Xcheck:jni
02-10 21:28:00.276 V/SettingsInterface(26521): invalidate [system]: current 7 != cached 0
02-10 21:28:00.384 D/Proxy   (26521): setHttpRequestCheckHandler
02-10 21:28:00.503 W/linker  (26521): libmonodroid.so: unused DT entry: type 0x6ffffffe arg 0x5778
02-10 21:28:00.503 W/linker  (26521): libmonodroid.so: unused DT entry: type 0x6fffffff arg 0x2
02-10 21:28:00.640 W/monodroid(26521): Creating public update directory: `/data/data/com.companyname.Bakkiefy/files/.__override__`
02-10 21:28:00.641 W/monodroid(26521): Using override path: /data/data/com.companyname.Bakkiefy/files/.__override__
02-10 21:28:00.641 W/monodroid(26521): Using override path: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__
02-10 21:28:00.643 W/monodroid(26521): Trying to load sgen from: /data/data/com.companyname.Bakkiefy/files/.__override__/libmonosgen-2.0.so
02-10 21:28:00.644 W/monodroid(26521): Trying to load sgen from: /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/libmonosgen-2.0.so
02-10 21:28:00.644 W/monodroid(26521): Trying to load sgen from: /storage/sdcard0/../legacy/Android/data/com.companyname.Bakkiefy/files/.__override__/libmonosgen-2.0.so
02-10 21:28:00.644 W/monodroid(26521): Trying to load sgen from: /data/app/com.companyname.Bakkiefy-1/lib/arm/libmonosgen-2.0.so
02-10 21:28:00.645 W/monodroid(26521): Trying to load sgen from: /data/data/com.companyname.Bakkiefy/files/.__override__/links/libmonosgen-2.0.so
02-10 21:28:00.654 W/linker  (26521): libmonosgen-2.0.so: unused DT entry: type 0x6ffffffe arg 0xf9fc
02-10 21:28:00.655 W/linker  (26521): libmonosgen-2.0.so: unused DT entry: type 0x6fffffff arg 0x3
02-10 21:28:00.668 W/monodroid-debug(26521): Trying to initialize the debugger with options: --debugger-agent=transport=dt_socket,loglevel=0,address=127.0.0.1:29372,server=y,embedding=1
02-10 21:28:00.706 W/monodroid-debug(26521): Accepted stdout connection: 28
02-10 21:28:01.317 D/libc-netbsd(26521): [getaddrinfo]: hostname=127.0.0.1; servname=29372; cache_mode=(null), netid=0; mark=0
02-10 21:28:01.318 D/libc-netbsd(26521): [getaddrinfo]: ai_addrlen=0; ai_canonname=(null); ai_flags=0; ai_family=0
02-10 21:28:01.550 D/Mono    (26521): Image addref mscorlib[0xb7b82a18] -> mscorlib.dll[0xb7b81c00]: 2
02-10 21:28:01.553 D/Mono    (26521): Prepared to set up assembly 'mscorlib' (mscorlib.dll)
02-10 21:28:01.555 D/Mono    (26521): AOT: image 'mscorlib.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-mscorlib.dll.so" not found
02-10 21:28:01.562 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/mscorlib.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-mscorlib.dll.so" not found
02-10 21:28:01.565 D/Mono    (26521): Config attempting to parse: 'mscorlib.dll.config'.
02-10 21:28:01.565 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/mscorlib/mscorlib.config'.
02-10 21:28:01.879 D/Mono    (26521): Assembly mscorlib[0xb7b82a18] added to domain RootDomain, ref_count=1
02-10 21:28:02.025 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.Android.dll'.
02-10 21:28:02.028 D/Mono    (26521): Image addref Bakkiefy.Android[0xb7bbf750] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.Android.dll[0xb7bbe9b8]: 2
02-10 21:28:02.028 D/Mono    (26521): Prepared to set up assembly 'Bakkiefy.Android' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.Android.dll)
02-10 21:28:02.028 D/Mono    (26521): Assembly Bakkiefy.Android[0xb7bbf750] added to domain RootDomain, ref_count=1
02-10 21:28:02.033 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.Android.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Bakkiefy.Android.dll.so" not found
02-10 21:28:02.038 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Bakkiefy.Android.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Bakkiefy.Android.dll.so" not found
02-10 21:28:02.048 D/Mono    (26521): Assembly Loader loaded assembly from location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.Android.dll'.
02-10 21:28:02.048 D/Mono    (26521): Config attempting to parse: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Bakkiefy.Android.dll.config'.
02-10 21:28:02.049 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/Bakkiefy.Android/Bakkiefy.Android.config'.
02-10 21:28:02.050 D/Mono    (26521): Assembly Loader probing location: '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Acr.UserDialogs.dll'.
02-10 21:28:02.057 D/Mono    (26521): Image addref Acr.UserDialogs[0xb7bc0a88] -> /storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Acr.UserDialogs.dll[0xb7bbfe78]: 2
02-10 21:28:02.057 D/Mono    (26521): Prepared to set up assembly 'Acr.UserDialogs' (/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Acr.UserDialogs.dll)
02-10 21:28:02.057 D/Mono    (26521): Assembly Acr.UserDialogs[0xb7bc0a88] added to domain RootDomain, ref_count=1
02-10 21:28:02.064 D/Mono    (26521): AOT: image '/storage/sdcard0/Android/data/com.companyname.Bakkiefy/files/.__override__/Acr.UserDialogs.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Acr.UserDialogs.dll.so" not found
02-10 21:28:02.073 D/Mono    (26521): AOT: image '/usr/local/lib/mono/aot-cache/arm/Acr.UserDialogs.dll.so' not found: dlopen failed: library "/data/app/com.companyname.Bakkiefy-1/lib/arm/libaot-Acr.UserDialogs.dll.so" not found
